Team,Wins,Losses,OTL
Winnipeg Jets,56,22,4
Toronto Maple Leafs,52,26,4
Washington Capitals,51,22,9
Dallas Stars,50,26,6
Vegas Golden Knights,50,22,10
Colorado Avalanche,49,29,4
Los Angeles Kings,48,25,9
Edmonton Oilers,48,29,5
Tampa Bay Lightning,47,27,8
Florida Panthers,47,31,4
Carolina Hurricanes,47,30,5
Ottawa Senators,45,30,7
Minnesota Wild,45,30,7
St. Louis Blues,44,30,8
New Jersey Devils,42,33,7
Calgary Flames,41,27,14
Columbus Blue Jackets,40,33,9
Montreal Canadiens,40,31,11
Detroit Red Wings,39,35,8
New York Rangers,39,36,7
Utah Hockey Club,38,31,13
Vancouver Canucks,38,30,14
Buffalo Sabres,36,39,7
Anaheim Ducks,35,37,10
Seattle Kraken,35,41,6
New York Islanders,35,35,12
Pittsburgh Penguins,34,36,12
Boston Bruins,33,39,10
Philadelphia Flyers,33,39,10
Nashville Predators,30,44,8
Chicago Blackhawks,25,46,11
San Jose Sharks,20,50,12
